Country, Renewable Energy Capacity (MW), Renewable Energy Generation (GWh), Solar Capacity (MW), Wind Capacity (MW), Hydropower Capacity (MW), Biomass Capacity (MW), Geothermal Capacity (MW), Income for Year (USD), Government Renewable Energy Policies, CO2 Emissions (metric tons), Population, Energy Consumption per Capita (kWh), Renewable Energy Percentage
United States, 250000, 700000, 100000, 120000, 20000, 5000, 5000, 2500000, Supportive, 5000000, 331002651, 10000, 20%
Germany, 120000, 400000, 50000, 60000, 5000, 2000, 2000, 1800000, Strong, 800000, 83783942, 8500, 30%
China, 320000, 1200000, 150000, 160000, 10000, 3000, 5000, 3500000, Moderate, 10000000, 1439323776, 6000, 40%
India, 100000, 350000, 30000, 40000, 5000, 1000, 2000, 1200000, Supportive, 3000000, 1366417754, 2500, 25%
United Kingdom, 50000, 180000, 20000, 25000, 2000, 1000, 500, 1000000, Strong, 600000, 67886011, 6000, 15%
Japan, 80000, 300000, 10000, 60000, 5000, 1000, 3000, 1500000, Moderate, 1200000, 126476461, 9000, 25%
Spain, 60000, 220000, 15000, 30000, 5000, 1000, 1000, 1100000, Strong, 400000, 46754778, 5500, 40%
Brazil, 180000, 600000, 70000, 80000, 10000, 2000, 2000, 2000000, Moderate, 2500000, 213993437, 4500, 35%
Canada, 90000, 320000, 40000, 40000, 8000, 1000, 1500, 1400000, Strong, 700000, 37894799, 12000, 20%
France, 70000, 250000, 20000, 25000, 5000, 1000, 1000, 1300000, Moderate, 500000

